Person / Department Contacted for Information,Data Format Received (e.g. Excel / Word),Update Frequency,Notes
Pre-EPF Credits,Diploma Services,Excel,Upon admission of each student,"Student list filled for DSI (extraction), data entered by Admissions Service"
Credits 1st 2nd 3rd Year,Diploma Services,Phenix (entered by professors for each module),As they are entered by professors,
Credits S7 S8 S9 S10 EPF,Diploma Services,Phenix (entered by professors for each module),As they are entered by professors,
Credits S7 S8 S9 S10 External,Diploma Services,Import of a file entered by International Service,As students validate their international credits,
EVE Credits,BDE / DSI,,,
ACQUIRED COMPETENCIES,BDE / DSI,,,
OBJECTIVE COMPETENCIES,BDE / DSI,,,
English Score,Language Services,,,
VOLTAIRE,Director of Studies,,,
TFI Score,FLE (International Development Direction),,,
VEIO,International Development Direction,,,
INFO Modules to Retake,Diploma Services,,,
Internship Start and End Date,Internship Services,,,
